,Title,Summary,Name
26,The Bear and the Maiden Fair,Jon and the wildlings travel south of the Wall. Talisa tells Robb that she's pregnant. Arya runs away from the Brotherhood. Daenerys arrives at Yunkai. Jaime leaves Brienne behind at Harrenhal.,Games of Throne
27,Second Sons,Daenerys tries to persuade the Second Sons to join her against Yunkai. Stannis releases Davos from the dungeons. Sam and Gilly are attacked by a White Walker. Sansa and Tyrion wed.,Games of Throne
28,The Rains of Castamere,Robb and Catelyn arrive at the Twins for the wedding. Jon is put to the test to see where his loyalties truly lie. Bran's group decides to split up. Daenerys plans an invasion of Yunkai.,Games of Throne
29,Mhysa,Bran and company travel beyond the Wall. Sam returns to Castle Black. Jon says goodbye to Ygritte. Jaime returns to King's Landing. The Night's Watch asks for help from Stannis.,Games of Throne
30,Two Swords,"Tyrion welcomes a guest to King's Landing. At Castle Black, Jon stands trial. Daenerys is pointed to Meereen, the mother of all slave cities. Arya runs into an old enemy.",Games of Throne
31,The Lion and the Rose,Joffrey and Margaery's wedding has come. Tyrion breaks up with Shae. Ramsay tries to prove his worth to his father. Bran and company find a Weirwood tree.,Games of Throne
32,Breaker of Chains,Tyrion is arrested for the murder of Joffrey and awaits trial. Sansa escapes King's Landing. Sam sends Gilly to Mole's Town as the Night's Watch finds itself in a tight spot. Meereen challenges Daenerys.,Games of Throne
33,Oathkeeper,Jaime entrusts a task to Brienne. Daenerys frees Meereen. Jon is given permission to lead a group of Night's Watchmen to Craster's Keep. Bran and company are taken hostage.,Games of Throne
34,First of His Name,Tommen is crowned King of the Seven Kingdoms. Cersei builds her case against Tyrion. Sansa and Lord Baelish arrive at the Eyrie. The Night's Watch attacks Craster's Keep.,Games of Throne
35,The Laws of Gods and Men,Tyrion's trial has come. Yara and her troops storm the Dreadfort to free Theon. Daenerys meets Hizdar zo Loraq. Stannis makes a deal with the Iron Bank of Braavos.,Games of Throne
36,Mockingbird,Tyrion tries to find a champion. Daenerys sleeps with Daario. The Hound becomes wounded. Jon's advice is ignored at Castle Black. Brienne and Podrick receive a tip on Arya's whereabouts.,Games of Throne
37,The Mountain and the Viper,"Theon helps Ramsay seize Moat Cailin. The wildlings attack Mole's Town. Sansa comes up with a story to protect Lord Baelish. Daenerys finds out a secret about Jorah Mormont. Oberyn Martell faces Gregor Clegane, the Mountain.",Games of Throne
38,The Watchers on the Wall,The battle between the Night's Watch and the wildlings has come.,Games of Throne
39,The Children,"Jon makes an important decision. Daenerys experiences new consequences. Brienne and Podrick have an unexpected encounter. Bran achieves a goal, while Tyrion makes an important discovery.",Games of Throne
40,The Wars to Come,"Cersei and Jaime adjust to a world without Tywin. Tyrion and Varys arrive at Pentos. In Meereen, a new enemy emerges. Jon is caught between two kings.",Games of Throne
41,The House of Black and White,Arya arrives in Braavos. Jaime takes on a secret mission. Ellaria Sand seeks revenge for Oberyn's death. Stannis makes Jon a generous offer as the Night's Watch elects a new Lord Commander. Daenerys is faced with a difficult decision.,Games of Throne
42,High Sparrow,Tommen and Margaery wed. Arya has trouble adapting to her new life. Littlefinger reveals his plans to Sansa. Jon gives his first orders as Lord Commander. Tyrion and Varys arrive in Volantis.,Games of Throne
43,Sons of the Harpy,"Jorah Mormont sets sail alongside his prisoner, Tyrion. Cersei makes a move against the Tyrells. Jaime and Bronn sneak into Dorne. Ellaria and the Sand Snakes make their plans. Melisandre tempts Jon. The Harpies attack.",Games of Throne
44,Kill the Boy,Daenerys arrests the heads of Meereen's great families. Jon makes a difficult decision. Theon is forced to face Sansa. Stannis rides south. Tyrion and Jorah enter the ruins of Old Valyria.,Games of Throne
45,"Unbowed, Unbent, Unbroken",Arya is put to the test. Tyrion and Jorah are captured by slavers. Loras Tyrell is judged by the Sparrows. Jaime and Bronn face the Sand Snakes. Sansa marries Ramsay Bolton.,Games of Throne
46,The Gift,Jon heads east as trouble begins to stir for Sam and Gilly at Castle Black. Sansa asks Theon for help. Tyrion and Jorah are sold as slaves. Cersei savors her triumph over the Tyrells as new plots are developed in the shadows.,Games of Throne
47,Hardhome,Tyrion advises Daenerys. Sansa forces Theon to tell her a secret. Cersei remains stubborn. Arya meets her first target. Jon and Tormund meet with the wildling elders.,Games of Throne
48,The Dance of Dragons,Jon and the wildlings return to Castle Black. Jaime meets with Doran Martell. Stannis makes a hard choice. Arya runs into Meryn Trant. Daenerys attends the grand reopening of the fighting pits.,Games of Throne
49,Mother's Mercy,Stannis arrives at Winterfell. Tyrion runs Meereen as Daario and Jorah go after Daenerys. Jaime and Myrcella leave Dorne. Jon sends Sam and Gilly to Oldtown. Arya challenges the Many-Faced God. Cersei confesses her sins.,Games of Throne
50,The Red Woman,The fate of Jon Snow is revealed. Daenerys is brought before Khal Moro. Tyrion gets used to living in Meereen. Ramsay sends his dogs after Theon and Sansa. Ellaria and the Sand Snakes make their move. Cersei mourns for Myrcella.,Games of Throne
51,Home,Bran trains with the Three-Eyed Raven. Tommen meets with Cersei. Tyrion makes a bold move. Theon leaves while at Pyke new issues arise. Ramsay's brother is born. Davos asks Melisandre for a miracle.,Games of Throne
52,Oathbreaker,"Daenerys arrives at Vaes Dothrak. Sam and Gilly sail for Horn Hill. Arya trains as No One. Varys finds information on the Sons of the Harpy. Ramsay receives a gift. Tommen meets with the High Sparrow. At Castle Black, a miracle occurs.",Games of Throne
53,Book of the Stranger,Sansa arrives at Castle Black. Tyrion makes a deal with the slave masters. Jorah and Daario sneak into Vaes Dothrak. Ramsay sends a letter to Jon. Theon arrives at Pyke. Cersei and Olenna Tyrell plot against the High Sparrow.,Games of Throne
54,The Door,Sansa and Jon make plans. Arya is given another chance to prove herself. Jorah confesses a secret to Daenerys. Tyrion meets with a red priestess. Yara finds her rule tested. Bran discovers the origin of the White Walkers.,Games of Throne
55,Blood of My Blood,Bran and Meera find a new ally. Gilly meets Sam's family. Arya makes a difficult choice. The Lannisters and Tyrells march against the High Sparrow.,Games of Throne
56,The Broken Man,Jon and Sansa gather troops. Jaime arrives at Riverrun. Olenna Tyrell plans to leave King's Landing. Theon and Yara plan a destination. Arya makes plans to leave.,Games of Throne
57,No One,Brienne arrives at Riverrun. Arya seeks shelter. Jaime meets with Edmure Tully. Cersei challenges the Faith. Sandor Clegane hunts for revenge. Tyrion faces the consequences of earlier decisions.,Games of Throne
58,Battle of the Bastards,Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.,Games of Throne
59,The Winds of Winter,Cersei and Loras Tyrell stand trial by the gods. Daenerys prepares to set sail for Westeros. Davos confronts Melisandre. Sam and Gilly arrive in the Citadel. Bran discovers a long-kept secret. Lord Frey has an uninvited guest.,Games of Throne
60,Dragonstone,"Jon organizes the North's defenses. Cersei tries to even the odds. Daenerys comes home. Arya reminds the Freys ""the North remembers."" Sam adapts to life in Oldtown. The Night King makes his way south.",Games of Throne
61,Stormborn,Daenerys receives an unexpected visitor. Jon faces resistance. Tyrion plans the conquest of Westeros. Cersei gathers her allies. Arya has a reunion with old friends. Sam risks his career and life.,Games of Throne
62,The Queen's Justice,Jon and Daenerys finally meet. Cersei gains a new ally. Sansa receives an unexpected visitor. Sam is confronted for his actions.,Games of Throne
63,The Spoils of War,Daenerys takes matters into her own hands. Arya reaches her destination. Jaime and Bronn collect the spoils from the war with the Tyrells.,Games of Throne
64,Eastwatch,Daenerys demands loyalty from the surviving Lannister soldiers; Jon heeds Bran's warning about White Walkers on the move; Cersei vows to vanquish anyone or anything that stands in her way.,Games of Throne
65,Beyond the Wall,Jon and his team go beyond the wall to capture a wight. Daenerys has to make a tough decision.,Games of Throne
66,The Dragon and the Wolf,"Everyone meets in King's Landing to discuss the fate of the realm. In Winterfell, Sansa confronts Arya. Sam reaches Winterfell, where he and Bran discover a shocking secret about Jon Snow.",Games of Throne
67,Winterfell,Jon and Daenerys arrive in Winterfell and are met with skepticism. Sam learns about the fate of his family. Cersei gives Euron the reward he aims for. Theon follows his heart.,Games of Throne
68,A Knight of the Seven Kingdoms,Jaime faces judgment and Winterfell prepares for the battle to come.,Games of Throne
69,The Long Night,The Night King and his army have arrived at Winterfell and the great battle begins.,Games of Throne
70,The Last of the Starks,The Battle of Winterfell is over and a new chapter for Westeros begins.,Games of Throne
71,The Bells,Forces have arrived at King's Landing for the final battle.,Games of Throne
72,The Iron Throne,"In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors.",Games of Throne
73,Unaired Pilot,"The first Pilot of what will become ""The Big Bang Theory"". Leonard and Sheldon are two awkward scientists who share an apartment. They meet a drunk girl called Katie and invite her to stay at their place, because she has nowhere to stay. The two guys have a female friend, also a scientist, called Gilda.",Big Bang Theory
74,Pilot,"A pair of socially awkward theoretical physicists meet their new neighbor Penny, who is their polar opposite.",Big Bang Theory
75,The Big Bran Hypothesis,Penny is furious with Leonard and Sheldon when they sneak into her apartment and clean it while she is sleeping.,Big Bang Theory
76,The Fuzzy Boots Corollary,"Leonard gets upset when he discovers that Penny is seeing a new guy, so he tries to trick her into going on a date with him.",Big Bang Theory
77,The Luminous Fish Effect,Sheldon's mother is called to intervene when he delves into numerous obsessions after being fired for being disrespectful to his new boss.,Big Bang Theory
78,The Hamburger Postulate,"Leslie seduces Leonard, but afterwards tells him that she is only interested in a one-night stand.",Big Bang Theory
79,The Middle Earth Paradigm,"The guys are invited to Penny's Halloween party, where Leonard has yet another run-in with Penny's ex-boyfriend Kurt.",Big Bang Theory
80,The Dumpling Paradox,"When Howard hooks up with Penny's old friend, his absence in the gang causes problems for the rest of the guys.",Big Bang Theory
81,The Grasshopper Experiment,"When Raj's parents set him up on a blind date, he finds he can talk to women with the aid of alcohol.",Big Bang Theory
82,The Cooper-Hofstadter Polarization,"Leonard and Sheldon's friendship is put to the test when Leonard wants to present a paper they co-authored at a physics convention, but Sheldon doesn't.",Big Bang Theory
83,The Loobenfeld Decay,"Leonard lies to Penny so that he and Sheldon can get out of watching her perform. However, Sheldon believes that the lie has too many loose ends, so he comes up with a new, unnecessarily complex one to replace it.",Big Bang Theory
84,The Pancake Batter Anomaly,"When Sheldon gets sick, Leonard, Howard and Raj go AWOL, leaving a reluctant Penny to deal with him.",Big Bang Theory
85,The Jerusalem Duality,"Sheldon decides to give up his work and focus on other tasks when a 15-year-old prodigy joins the university, so the other guys come up with a plan to get rid of him.",Big Bang Theory
86,The Bat Jar Conjecture,"Sheldon becomes so intent on demonstrating his intellectual superiority over the other guys that they kick him off the Physics Bowl team and replace him with his nemesis, Leslie.",Big Bang Theory
87,The Nerdvana Annihilation,"Penny gets mad at the guys when their full scale model of a time machine causes her to miss work, which prompts Leonard to give up all of his nerd memorabilia.",Big Bang Theory
88,The Pork Chop Indeterminacy,"Leonard, Howard and Raj fight over Sheldon's twin sister when she arrives in town. Raj takes part in a drug trial to suppress his selective mutism.",Big Bang Theory
89,The Peanut Reaction,"When Penny learns that Leonard has never had a birthday party, she and the rest of the guys plan a surprise party for him.",Big Bang Theory
90,The Tangerine Factor,"After a bad breakup, Penny finally agrees to go out on a date with Leonard, however they both develop doubts and turn to Sheldon for advice.",Big Bang Theory
91,The Bad Fish Paradigm,"Leonard becomes concerned when his date with Penny ends abruptly and she starts blowing him off. When told the truth, Sheldon would rather move out than keep Penny's reasons a secret from Leonard.",Big Bang Theory
92,The Codpiece Topology,Sheldon is annoyed when Leonard turns to Leslie for comfort after seeing Penny with another guy.,Big Bang Theory
93,The Barbarian Sublimation,"Sheldon introduces Penny to online gaming, however she refuses to quit after becoming addicted.",Big Bang Theory
94,The Griffin Equivalency,The guys struggle to cope with Raj's arrogance after he is featured in a People magazine article.,Big Bang Theory
95,The Euclid Alternative,"Sheldon annoys the gang when Leonard can't drive him to and from work, so they try to teach him how to drive.",Big Bang Theory
96,The Cooper-Nowitzki Theorem,"Sheldon is flattered when a graduate student takes a shine to him, however her extreme devotion becomes too much to handle.",Big Bang Theory
97,The Panty Piñata Polarization,"Penny plans revenge when Sheldon bans her from his and Leonard's apartment, while Howard and Raj use the latest technology to try to find the house being used in ""America's Next Top Model.""",Big Bang Theory
98,The Lizard-Spock Expansion,Leonard and Howard's friendship is jeopardised when Leonard steals a girl from Howard.,Big Bang Theory
99,The White Asparagus Triangulation,"Sheldon believes that Leonard will wreck his relationship with Stephanie, so he decides to take matters into his own hands.",Big Bang Theory
100,The Vartabedian Conundrum,"Leonard tries to slow down his relationship with Stephanie when he realizes that they are living together, while Sheldon becomes convinced that he has an untraceable disease.",Big Bang Theory
101,The Bath Item Gift Hypothesis,"Leonard is disappointed when Penny develops an interest in an attractive physicist at the university. Meanwhile, Sheldon struggles to find an appropriate Christmas gift for Penny.",Big Bang Theory
102,The Killer Robot Instability,"Howard becomes depressed after Penny makes a cruel statement about his love life, while the rest of the guys prepare for a grudge killer robot duel against an obnoxious colleague at the university.",Big Bang Theory
103,The Friendship Algorithm,Sheldon tries to make friends with Kripke in the hope that it will get him access to a coveted computer at the university.,Big Bang Theory
104,The Financial Permeability,Leonard and Sheldon try to help out Penny when she can't afford to pay her rent.,Big Bang Theory
105,The Maternal Capacitance,"Sheldon hits it off with Leonard's psychoanalyst mother, but she drives Leonard and Penny to the bottle.",Big Bang Theory
106,The Cushion Saturation,"Howard hooks up with Leslie, while Penny accidentally ruins Sheldon's spot on the couch.",Big Bang Theory
107,The Terminator Decoupling,"On a train to San Francisco, Howard, Raj and Leonard fight for the affections of sci-fi star Summer Glau, while Sheldon is forced to turn to Penny for help when he leaves his flash drive behind.",Big Bang Theory
108,The Work Song Nanocluster,Sheldon's assistance with Penny's home-based business leads to chaos.,Big Bang Theory
109,The Dead Hooker Juxtaposition,Penny becomes jealous when a gorgeous new neighbor attracts the guys' attention.,Big Bang Theory
110,The Hofstadter Isotope,"Leonard is upset when the owner of the comic book store goes on a date with Penny, so he convinces Howard and Raj to take him to a bar so that he can pick up a woman of his own.",Big Bang Theory
111,The Vegas Renormalization,"After being dumped by Leslie, Howard heads to Las Vegas with Leonard and Raj. Meanwhile, Penny is forced to take in Sheldon after he locks himself out of his apartment.",Big Bang Theory
112,The Classified Materials Turbulence,Penny's second date with Stuart has significant implications for Leonard. Howard enlists the guys' help with one of his NASA projects.,Big Bang Theory
113,The Monopolar Expedition,Penny gets upset when she finds out Leonard and the guys plan to work at the North Pole for the summer.,Big Bang Theory
114,The Electric Can Opener Fluctuation,"After returning from the North Pole, a conflict among the guys sends Sheldon back to Texas and interferes with Leonard's reunion with Penny.",Big Bang Theory
115,The Jiminy Conjecture,Leonard and Penny's first night together goes awkwardly. Sheldon and Howard wager on the species of a cricket.,Big Bang Theory
116,The Gothowitz Deviation,"Sheldon attempts to covertly alter Penny's habits, while Howard and Raj try their luck meeting women at a Goth-style club.",Big Bang Theory
117,The Pirate Solution,"When Raj has to find a new job or be sent back to India, Sheldon's solution leaves Leonard and Penny dealing with Howard as the third wheel.",Big Bang Theory
118,The Creepy Candy Coating Corollary,"Leonard is forced to ask Penny to set Howard up with one of her friends, while Sheldon seeks payback against sci-fi star Wil Wheaton.",Big Bang Theory
119,The Cornhusker Vortex,"Leonard tries to learn about football to fit in with Penny's friends. Meanwhile, a loss in a kite war threatens to end Raj and Howard's friendship.",Big Bang Theory
120,The Guitarist Amplification,Sheldon is caught in the middle when Leonard and Penny argue about Penny's friend staying at her apartment.,Big Bang Theory
121,The Adhesive Duck Deficiency,"Penny is forced to turn to Sheldon for help when she dislocates her shoulder in the bathtub. Meanwhile, the rest of the guys accidentally get stoned in the desert while waiting for a meteor shower.",Big Bang Theory
122,The Vengeance Formulation,Sheldon plans revenge after Kripke humiliates him on the radio. Howard develops doubts about his relationship with Bernadette.,Big Bang Theory
123,The Gorilla Experiment,"Sheldon attempts to help Penny understand physics to impress Leonard, while Howard becomes jealous when Bernadette takes an interest in Leonard's research.",Big Bang Theory
124,The Maternal Congruence,Leonard's mother makes a visit to his dismay and Sheldon's delight.,Big Bang Theory
125,The Psychic Vortex,Raj talks Sheldon into being his wingman at a university mixer. Leonard has trouble dealing with Penny consulting a psychic.,Big Bang Theory
126,The Bozeman Reaction,"When their apartment is robbed, Leonard and Sheldon turn to Howard and Raj to create a state-of-the-art security system.",Big Bang Theory
127,The Einstein Approximation,Sheldon wreaks havoc when he is stumped by a difficult physics question.,Big Bang Theory
128,The Large Hadron Collision,"When Leonard is offered a trip to Switzerland on Valentine's Day to visit the CERN laboratory, Sheldon uses any and all means to be his guest instead of Penny.",Big Bang Theory
129,The Excelsior Acquisition,Sheldon misses an opportunity to get Stan Lee's autograph because he has to make an appearance in traffic court.,Big Bang Theory
130,The Precious Fragmentation,"The guys' friendship is threatened when they find a ring from the ""Lord of the Rings"" trilogy.",Big Bang Theory
131,The Pants Alternative,Sheldon seeks help from the rest of the gang in overcoming his fear of public speaking when he receives an award.,Big Bang Theory
132,The Wheaton Recurrence,Sheldon takes on Wil Wheaton in a game of bowling. Leonard and Penny's relationship comes to a crossroad.,Big Bang Theory
133,The Spaghetti Catalyst,Sheldon is forced to go behind Leonard's back to spend time with Penny following their breakup.,Big Bang Theory
134,The Plimpton Stimulation,Chaos ensues when a nymphomaniac physicist visiting Sheldon hooks up with Leonard.,Big Bang Theory
135,The Staircase Implementation,Leonard tells Penny about how he and Sheldon became roommates and what happened to the elevator.,Big Bang Theory
136,The Lunar Excitation,"Penny has a night of angry, drunken sex with Leonard, much to his confusion. Meanwhile, Howard and Raj search for Sheldon's perfect match online.",Big Bang Theory
137,The Robotic Manipulation,"Penny ends up tagging along on Sheldon's first ever date with Amy, while Howard finds an unusual use for a robotic arm.",Big Bang Theory
138,The Cruciferous Vegetable Amplification,"When Sheldon calculates the technology to download his consciousness into a robot won't be invented soon enough, he desperately tries to find a way to increase his lifespan.",Big Bang Theory
139,The Zazzy Substitution,"Following his 'breakup' with Amy, the gang become concerned with Sheldon's obsessive search for non-human companionship and call his mother to intervene.",Big Bang Theory
140,The Hot Troll Deviation,"Howard tries to get Penny's help in winning back Bernadette, but first has to confess the embarrassing reason why they broke up in the first place. Raj and Sheldon clash over a desk.",Big Bang Theory
141,The Desperation Emanation,"Sheldon is scared that he is in a relationship when Amy asks him to meet her mother, and Leonard asks Howard and Bernadette to set him up because he is the only person in the group without a girlfriend.",Big Bang Theory
142,The Irish Pub Formulation,"Leonard tries to keep everyone from finding out that he spent the night with Raj's sister, but Sheldon finds out and concocts an elaborate story to help him keep the secret from Raj.",Big Bang Theory
143,The Apology Insufficiency,An FBI agent interviews the guys when Howard needs to obtain a security clearance.,Big Bang Theory
144,The 21-Second Excitation,"The guys camp out all night waiting to see an extended cut of Indiana Jones, while Amy joins in on girls' night with Penny and Bernadette.",Big Bang Theory
145,The Boyfriend Complexity,"Penny asks Leonard to pose as her boyfriend when her father visits. Howard, Raj and Bernadette have an awkward encounter when they spend the evening together.",Big Bang Theory
146,The Alien Parasite Hypothesis,"Amy finds she has sexual feelings for Penny's ex-boyfriend Zack, while Raj and Howard try to prove who would be the better superhero.",Big Bang Theory
147,The Justice League Recombination,The guys enter a costume contest as members of the Justice League and convince Penny and Zack to join them.,Big Bang Theory
148,The Bus Pants Utilization,"Leonard has an idea for a new smartphone app and asks the guys for help, however Sheldon tries to take over the project, and Leonard fires him.",Big Bang Theory
149,The Love Car Displacement,Chaos ensues when the gang spend the weekend together at a science convention.,Big Bang Theory
150,The Thespian Catalyst,"To improve his skills as an instructor, Sheldon asks Penny to give him acting lessons. Meanwhile, Raj begins having impure fantasies about Bernadette.",Big Bang Theory
151,The Benefactor Factor,"To secure needed funding for the university, Sheldon convinces Leonard to get friendly with a wealthy benefactor.",Big Bang Theory
152,The Cohabitation Formulation,"Bernadette makes Howard choose between herself and his mother, while Penny and Raj become upset when Priya returns to town and resumes her relationship with Leonard.",Big Bang Theory
153,The Toast Derivation,Sheldon becomes concerned when everybody begins to hang out at Raj's apartment and discovers Leonard is the center of the group.,Big Bang Theory
154,The Prestidigitation Approximation,Priya forces Leonard to choose between a relationship with her or a friendship with Penny. A magic trick by Howard has Sheldon fooled.,Big Bang Theory
155,The Zarnecki Incursion,"The guys go all out to help Sheldon find the person responsible for hacking his online gaming account, while the girls' hatred for Priya increases.",Big Bang Theory
156,The Herb Garden Germination,Sheldon and Amy secretly experiment on the gang by spreading rumors when they hear that Bernadette is thinking about breaking up with Howard.,Big Bang Theory
157,The Agreement Dissection,"When Priya finds a loophole in the roommate agreement to throw Sheldon out for the night, Penny, Amy and Bernadette take him to a nightclub.",Big Bang Theory
158,The Wildebeest Implementation,"Sheldon invents a three-player chess game, Penny and Amy use Bernadette to spy on Leonard and Priya, and Raj tries a new drug to treat his social anxiety.",Big Bang Theory
159,The Engagement Reaction,"Howard believes that his mom suffered a heart attack because he told her that he's marrying Bernadette, Sheldon freaks out over germs, and Penny and Priya compare notes on Leonard.",Big Bang Theory
160,The Roommate Transmogrification,Raj moves in with Sheldon after hearing Leonard and Priya engage in a Star Trek fantasy in his apartment. Bernadette receives her doctorate.,Big Bang Theory
161,The Skank Reflex Analysis,The gang deal with the fallout from Penny and Raj's night together.,Big Bang Theory
162,The Infestation Hypothesis,Amy gets inadvertently caught in the middle of a fight between Sheldon and Penny over a chair. Leonard tries to add some spice to his long-distance relationship with Priya.,Big Bang Theory
163,The Pulled Groin Extrapolation,Leonard accompanies Amy to a colleague's wedding. Howard tries to convince Bernadette to live with his mother after they get married.,Big Bang Theory
164,The Wiggly Finger Catalyst,"Penny sets up Raj with a deaf friend, not knowing that she's actually a gold digger, and Sheldon decides to let his minor decisions rest on the roll of the dice.",Big Bang Theory
165,The Russian Rocket Reaction,"Sheldon takes offense when Leonard wants to attend a party with Wil Wheaton, while Bernadette tries to block Howard's opportunity to go into outer space.",Big Bang Theory
166,The Rhinitis Revelation,Sheldon gets upset when his mother comes to visit but refuses to cook for him and attend physics lectures.,Big Bang Theory
167,The Good Guy Fluctuation,Sheldon tries to get into the spirit of Halloween by trying to scare the guys after they prank him. Leonard seeks Penny's advice when an attractive comic book artist takes an interest in him.,Big Bang Theory
168,The Isolation Permutation,"Amy is hurt when Penny and Bernadette go bridesmaid dress shopping without her, so she turns to a reluctant Sheldon for comfort.",Big Bang Theory
169,The Ornithophobia Diffusion,"Sheldon tries to overcome his fear of birds, while Leonard and Penny attempt to hang out together strictly as friends.",Big Bang Theory
170,The Flaming Spittoon Acquisition,"When Stuart asks Amy on a date, Sheldon considers having a more serious relationship with her. Meanwhile, the guys become obsessed with a new card game involving Wild West heroes and witches.",Big Bang Theory
171,The Speckerman Recurrence,"Leonard confronts the man who bullied him in high school, while Penny realizes she did her fair share of tormenting in the past.",Big Bang Theory
172,The Shiny Trinket Maneuver,Penny helps Sheldon work on his relationship with Amy when he trivializes one of her accomplishments. Howard is irked by Bernadette's dislike of children.,Big Bang Theory
173,The Recombination Hypothesis,Leonard and Penny contemplate reviving their romantic relationship.,Big Bang Theory
